Element 1: (1, (1, 4), ['%', '.', '.', '%'], [(18, 9), (13, 5), (15, 6)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 5))
Element 2: (1, (1, 5), ['%', '', '.', '%'], [(18, 10), (13, 6), (16, 6)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 6))
Element 3: (1, (1, 6), ['%', '', '.', '.'], [(17, 10), (14, 6), (17, 6)], [True, False, False, False], 94, False, [False, False, True, True], 87, 'East', (2, 6))
Element 4: (1, (2, 6), ['', '%', '%', '.'], [(16, 10), (15, 6), (18, 6)], [False, True, True, False], 92, False, [False, False, False, True], 116, 'East', (3, 6))
Element 5: (1, (3, 6), ['', '.', '.', '.'], [(15, 10), (16, 6), (18, 7)], [False, False, False, False], 90, False, [False, True, True, True], 145, 'East', (4, 6))
Element 6: (1, (4, 6), ['', '%', '%', '.'], [(15, 9), (16, 7), (18, 8)], [False, True, True, False], 88, False, [False, False, False, True], 174, 'East', (5, 6))
Element 7: (1, (5, 6), ['', '%', '%', '.'], [(15, 8), (16, 8), (18, 9)], [False, True, True, False], 86, False, [False, False, False, True], 203, 'East', (6, 6))
Element 8: (1, (6, 6), ['', '.', '.', '%'], [(14, 8), (16, 7), (18, 10)], [False, False, False, True], 84, False, [False, True, True, False], 222, 'North', (6, 7))
Element 9: (1, (6, 7), ['%', '', '.', '%'], [(13, 8), (16, 6), (17, 10)], [True, False, False, True], 82, False, [False, False, True, False], 241, 'North', (6, 8))
Element 10: (1, (6, 8), ['.', '', '.', '.'], [(13, 9), (16, 5), (16, 10)], [False, False, False, False], 80, False, [True, False, True, True], 270, 'East', (7, 8))
Element 11: (1, (7, 8), ['', '%', '%', '.'], [(13, 10), (16, 4), (15, 10)], [False, True, True, False], 78, False, [False, False, False, True], 299, 'East', (8, 8))
Element 12: (1, (8, 8), ['', '%', '%', '.'], [(12, 10), (17, 4), (15, 9)], [False, True, True, False], 76, False, [False, False, False, True], 1318, 'East', (9, 8))
Element 13: (1, (9, 8), ['', '', '%', '.'], [(11, 10), (16, 4), (15, 8)], [False, False, True, False], 74, False, [False, False, False, True], 2327, 'East', (10, 8))
